step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.273764,0.277290,0.021421,0.000200
10,0.144110,0.090839,0.104138,0.042595,0.000195
20,0.066195,0.057921,0.066117,0.032441,0.000182
30,0.057517,0.054950,0.054648,0.035255,0.000161
40,0.050507,0.037983,0.042289,0.034692,0.000134
50,0.050447,0.047717,0.039271,0.033215,0.000105
60,0.044696,0.034560,0.046026,0.031270,0.000076
70,0.045879,0.037172,0.039793,0.030206,0.000049
80,0.039707,0.034649,0.035576,0.029654,0.000028
90,0.041308,0.039243,0.034625,0.028976,0.000015
100,0.042738,0.032097,0.035759,0.029446,0.000010
