episode,replay_pct,rank,lr,steps,baseline_fit_val,baseline_forget,final_train_loss,final_fit_val,final_forget,fit_drop_pct,forget_drift_pct
247,0.000000,16,0.000200,100,0.306381,0.022694,0.047321,0.033845,0.093109,88.953214,310.290308
247,0.050000,16,0.000200,100,0.306381,0.022694,0.050709,0.056175,0.042583,81.665019,87.644923
247,0.100000,16,0.000200,100,0.306381,0.022694,0.048548,0.036471,0.036689,88.096274,61.673093
247,0.250000,16,0.000200,100,0.306381,0.022694,0.046736,0.050612,0.026952,83.480718,18.767161
174,0.000000,16,0.000200,100,0.273764,0.021421,0.037484,0.032789,0.100652,88.023050,369.879462
174,0.050000,16,0.000200,100,0.273764,0.021421,0.039516,0.026355,0.045831,90.373120,113.954260
174,0.100000,16,0.000200,100,0.273764,0.021421,0.043055,0.027638,0.037213,89.904453,73.723222
174,0.250000,16,0.000200,100,0.273764,0.021421,0.042738,0.032097,0.029446,88.275731,37.462636
299,0.000000,16,0.000200,100,0.165660,0.019509,0.032641,0.023132,0.052553,86.036327,169.381593
299,0.050000,16,0.000200,100,0.165660,0.019509,0.029826,0.028963,0.031130,82.516348,59.566530
299,0.100000,16,0.000200,100,0.165660,0.019509,0.032985,0.040263,0.026893,75.695049,37.852164
299,0.250000,16,0.000200,100,0.165660,0.019509,0.031883,0.032246,0.021493,80.534950,10.168954
